wiki_article,source_path,start_line,end_line,last_processed_line,status,source_action,notes
Real-Time-UI-Implementation,docs/REAL_TIME_UI_IMPLEMENTATION.md,1,132,132,complete,remove_source,"Source file copied directly into Real-Time UI Implementation."
Actor-Graph-View,docs/ACTOR_GRAPH_VIEW.md,1,144,144,complete,remove_source,"Source file copied directly into Actor Graph View."
Storage-and-Persistence,docs/STORAGE_DOCUMENTATION.md,1,753,753,complete,remove_source,"Source file copied directly into Storage & Persistence."
Storage-and-Persistence,docs/STORAGE_CHECKLIST.md,1,151,151,complete,remove_source,"Source file appended directly into Storage & Persistence."
Setup-Instructions,docs/SETUP.md,1,8,8,complete,remove_source,"Source file copied directly into Setup Instructions."
Master-Checklist,docs/MASTER_CHECKLIST.md,1,595,595,complete,remove_source,"Source file copied directly into Master Checklist."
Test-Coverage-Checklist,docs/Test_Coverage_Checklist.md,1,163,163,complete,remove_source,"Source file copied directly into Test Coverage Checklist."
LangChain-Code-Changes,docs/CODE_CHANGES.md,1,376,376,complete,remove_source,"Source file copied directly into LangChain Code Changes."
LangChain-Patterns,docs/langchain-patterns.md,1,341,341,complete,remove_source,"Source file copied directly into LangChain Patterns."
LangChain-Chain-Implementation,docs/chain-implementation.md,1,230,230,complete,remove_source,"Source file copied directly into LangChain Chain Implementation."
LangChain-Recommendations,docs/RECOMMENDATIONS_LANGCHAIN.md,1,380,380,complete,remove_source,"Source file copied directly into LangChain Recommendations."
LangChain-Type-Safe-Dynamic-Wiring,docs/notes/langchain/BE_MORE_LIKE_LANGCHAIN_HERE.md,1,370,370,complete,remove_source,"Source file copied directly into LangChain Type-Safe Dynamic Wiring."
LangChain-Bugs,docs/notes/langchain/BUGS.md,1,100,100,complete,remove_source,"Source file copied directly into LangChain Bugs."
LangChain-Fix-Proposal,docs/notes/langchain/FIX_PROPOSAL.md,1,314,314,complete,remove_source,"Source file copied directly into LangChain Fix Proposal."
LangChain-Usage-Design-Improvements,docs/notes/langchain/USAGE_DESIGN_IMPROVEMENTS.md,1,395,395,complete,remove_source,"Source file copied directly into LangChain Usage Design Improvements."
Kernel-and-Ports,docs/architecture/01-kernel-module.md,1,316,316,complete,remove_source,"Source file appended directly into Kernel & Ports."
Lifecycle-and-Resources,docs/architecture/02-lifecycle-module-io-github-solaceharmony-core-lifecycle.md,1,134,134,complete,remove_source,"Source file appended directly into Lifecycle & Resources."
Storage-and-Persistence,docs/architecture/03-storage-module-io-github-solaceharmony-core-storage.md,1,900,900,complete,remove_source,"Source file appended directly into Storage & Persistence."
Actor-System,docs/architecture/04-actor-module-io-github-solaceharmony-core-actor.md,1,417,417,complete,remove_source,"Source file appended directly into Actor System."
Workflow-Orchestration,docs/architecture/05-workflow-module-io-github-solaceharmony-core-workflow.md,1,10,10,complete,remove_source,"Source file appended directly into Workflow Orchestration."
Scripting-Engine,docs/architecture/06-scripting-module-io-github-solaceharmony-core-scripting.md,1,326,326,complete,remove_source,"Source file appended directly into Scripting Engine."
Build-System-and-Dependencies,docs/architecture/07-build-system-and-dependencies.md,1,65,65,complete,remove_source,"Source file copied directly into Build System and Dependencies."
Development-Tooling-and-Practices,docs/architecture/08-development-tooling-and-practices.md,1,28,28,complete,remove_source,"Source file copied directly into Development Tooling and Practices."
JVM-Utilities,docs/architecture/09-jvm-specific-utilities-io-github-solaceharmony-core-util.md,1,45,45,complete,remove_source,"Source file copied directly into JVM Utilities."
Testing-Strategy,docs/architecture/10-testing-strategy-jvm-target.md,1,55,55,complete,remove_source,"Source file copied directly into Testing Strategy."
Vision-and-Solace-AI,docs/architecture/11-architectural-vision.md,1,29,29,complete,remove_source,"Source file appended directly into Vision & Solace AI."
Storage-and-Persistence,docs/architecture/13-storage-thread-safety-and-deadlock-prevention.md,1,82,82,complete,remove_source,"Source file appended directly into Storage & Persistence."
Inference-Cube,docs/architecture/14-inferencecube-architecture.md,1,47,47,complete,remove_source,"Source file appended directly into Inference Cube."
SolaceCore-Architecture-Overview,docs/architecture.md,1,268,268,complete,remove_source,"Source file copied directly into SolaceCore Architecture Overview."
Architectural-Deep-Dive,docs/Architectural_Deepdive.md,1,9,9,complete,remove_source,"Source file copied directly into Architectural Deep Dive with wiki link repair."
Solace-Core-Framework-Architecture,docs/Architectural_Document_Solace_Core_Framework.md,1,576,576,complete,remove_source,"Source file copied directly into Solace Core Framework Architecture."
System-Architecture-Diagram,docs/diagrams/system_architecture.md,1,77,77,complete,remove_source,"Source file copied directly into System Architecture Diagram."
Kotlin-Aligned-Documentation,docs/kotlin-aligned-docs/README.md,1,83,83,complete,remove_source,"Source file copied directly into Kotlin-Aligned Documentation."
Kotlin-Aligned-Architecture-Overview,docs/kotlin-aligned-docs/ARCHITECTURE_OVERVIEW.md,1,408,408,complete,remove_source,"Source file copied directly into Kotlin-Aligned Architecture Overview."
Kotlin-Aligned-Implementation-Status,docs/kotlin-aligned-docs/IMPLEMENTATION_STATUS.md,1,274,274,complete,remove_source,"Source file copied directly into Kotlin-Aligned Implementation Status."
Kotlin-Aligned-Quick-Start,docs/kotlin-aligned-docs/QUICK_START_DEVELOPERS.md,1,380,380,complete,remove_source,"Source file copied directly into Kotlin-Aligned Quick Start."
Sketch-Architecture,docs/sketch-architecture/README.md,1,109,109,complete,remove_source,"Source file copied directly into Sketch Architecture."
Sketch-Architecture,docs/sketch-architecture/ArchitectureClarificationMCP.kt,1,244,244,complete_move,remove_source,"Kotlin plan moved unchanged into wiki/sketch-architecture/."
Sketch-Architecture,docs/sketch-architecture/ArchitectureOverview.kt,1,182,182,complete_move,remove_source,"Kotlin plan moved unchanged into wiki/sketch-architecture/."
Sketch-Architecture,docs/sketch-architecture/ArchitectureReview.kt,1,320,320,complete_move,remove_source,"Kotlin plan moved unchanged into wiki/sketch-architecture/."
Sketch-Architecture,docs/sketch-architecture/ComponentsOverview.kt,1,295,295,complete_move,remove_source,"Kotlin plan moved unchanged into wiki/sketch-architecture/."
Sketch-Architecture,docs/sketch-architecture/ConfigTemplates.kt,1,260,260,complete_move,remove_source,"Kotlin plan moved unchanged into wiki/sketch-architecture/."
Sketch-Architecture,docs/sketch-architecture/CoroutineSharedMemory.kt,1,318,318,complete_move,remove_source,"Kotlin plan moved unchanged into wiki/sketch-architecture/."
Sketch-Architecture,docs/sketch-architecture/ImplementationStatus.kt,1,178,178,complete_move,remove_source,"Kotlin plan moved unchanged into wiki/sketch-architecture/."
Sketch-Architecture,docs/sketch-architecture/MoodTransparencyExperiment.kt,1,356,356,complete_move,remove_source,"Kotlin plan moved unchanged into wiki/sketch-architecture/."
Sketch-Architecture,docs/sketch-architecture/NeutralHistoryCompletionStatus.kt,1,264,264,complete_move,remove_source,"Kotlin plan moved unchanged into wiki/sketch-architecture/."
Sketch-Architecture,docs/sketch-architecture/ProviderSpecs.kt,1,307,307,complete_move,remove_source,"Kotlin plan moved unchanged into wiki/sketch-architecture/."
Sketch-Architecture,docs/sketch-architecture/QuickStartDevelopers.kt,1,261,261,complete_move,remove_source,"Kotlin plan moved unchanged into wiki/sketch-architecture/."
Storage-Checklist,wiki/Storage-and-Persistence.md,768,924,157,complete_split,link_from_source,"Extracted embedded storage checklist into its own topical wiki page."
Storage-Thread-Safety-and-Deadlock-Prevention,wiki/Storage-and-Persistence.md,1672,1753,82,complete_split,link_from_source,"Extracted storage thread-safety appendix into its own topical wiki page."
Solace-Core-Framework-Architecture,wiki/Solace-Core-Framework-Architecture.md,361,570,210,complete_deduplicate,link_to_topics,"Replaced duplicated Appendix A Mermaid diagrams with links to standalone diagram pages."
Project-Status,wiki/Project-Status.md,14,845,832,complete_deduplicate,generated_index,"Changed generated Project Status from embedded source aggregation to a link index of standalone status pages."
Storage-Module-Architecture,wiki/Storage-and-Persistence.md,774,1670,897,complete_split,link_from_source,"Extracted storage module architecture deep dive into its own topical wiki page."
MCP-and-Tool-Format,wiki/Providers-and-MCP-Tools.md,421,756,336,complete_split,link_from_source,"Extracted MCP and tool-format boundary article into its own Solace AI topic page."
Zoom-Level-Technical-Spec,wiki/Zoom-Levels.md,4,194,191,complete_split,link_from_source,"Extracted formal Addendum C zoom mechanism specification into its own Solace AI topic page."
Mouth-Tool-Technical-Spec,wiki/Voice-and-Mouth-Tool.md,4,148,145,complete_split,link_from_source,"Extracted formal Addendum B mouth tool expression pipeline specification into its own Solace AI topic page."
